"date","open","high","low","close","volume","vix_close"
"2010-12-31","125.52999877929688","125.87000274658205","125.33000183105467","125.75","91218900","17.75"
"2011-01-03","126.70999908447266","127.5999984741211","125.6999969482422","127.0500030517578","138725200","17.610000610351562"
"2011-01-04","127.33000183105467","127.37000274658205","126.19000244140624","126.9800033569336","137409700","17.3799991607666"
"2011-01-05","126.58000183105467","127.72000122070312","126.45999908447266","127.63999938964844","133975300","17.020000457763672"
"2011-01-06","127.69000244140624","127.83000183105467","127.01000213623048","127.38999938964844","122519000","17.399999618530273"
"2011-01-07","127.55999755859376","127.7699966430664","126.1500015258789","127.13999938964844","156034600","17.139999389648438"
"2011-01-10","126.58000183105467","127.16000366210938","126.1999969482422","126.9800033569336","122401700","17.540000915527344"
"2011-01-11","127.44000244140624","127.73999786376952","126.9499969482422","127.43000030517578","110287000","16.889999389648438"
"2011-01-12","128.2100067138672","128.72000122070312","127.45999908447266","128.5800018310547","107929200","16.239999771118164"
"2011-01-13","128.6300048828125","128.69000244140625","128.0500030517578","128.3699951171875","129048400","16.389999389648438"
"2011-01-14","128.19000244140625","129.3300018310547","128.10000610351562","129.3000030517578","117677900","15.460000038146973"
"2011-01-18","129.17999267578125","129.63999938964844","129.02999877929688","129.52000427246094","114401300","15.869999885559082"
"2011-01-19","129.41000366210938","129.5399932861328","127.91000366210938","128.25","151958400","17.309999465942383"
"2011-01-20","127.95999908447266","128.39999389648438","127.12999725341795","128.0800018310547","175745700","17.989999771118164"
"2011-01-21","128.8800048828125","129.1699981689453","128.22999572753906","128.3699951171875","151462900","18.46999931335449"
"2011-01-24","128.2899932861328","129.25","128.25999450683594","129.10000610351562","113715500","17.649999618530273"
"2011-01-25","128.75999450683594","129.27999877929688","128.11000061035156","129.1699981689453","167552200","17.59000015258789"
"2011-01-26","129.49000549316406","130.0500030517578","129.22999572753906","129.6699981689453","141281500","16.639999389648438"
"2011-01-27","129.6999969482422","130.2100067138672","129.47000122070312","129.99000549316406","123302700","16.149999618530273"
"2011-01-28","130.13999938964844","130.35000610351562","127.51000213623048","127.72000122070312","295637300","20.040000915527344"
"2011-01-31","128.07000732421875","128.77999877929688","127.75","128.67999267578125","149249200","19.530000686645508"
"2011-02-01","129.4600067138672","130.97000122070312","129.3800048828125","130.74000549316406","167194300","17.6299991607666"
"2011-02-02","130.39999389648438","130.83999633789062","130.3300018310547","130.49000549316406","118323600","17.299999237060547"
"2011-02-03","130.25999450683594","130.97999572753906","129.57000732421875","130.77999877929688","145886700","16.690000534057617"
"2011-02-04","130.8300018310547","131.1999969482422","130.22999572753906","131.14999389648438","134634800","15.93000030517578"
"2011-02-07","131.44000244140625","132.39999389648438","131.42999267578125","131.97000122070312","112439100","16.280000686645508"
"2011-02-08","132.08999633789062","132.63999938964844","131.72999572753906","132.57000732421875","99072800","15.8100004196167"
"2011-02-09","132.2100067138672","132.6300048828125","131.61000061035156","132.27000427246094","146436700","15.869999885559082"
"2011-02-10","131.60000610351562","132.47000122070312","131.3000030517578","132.32000732421875","162708500","16.09000015258789"
"2011-02-11","131.8000030517578","133.27999877929688","131.77000427246094","133.11000061035156","137710300","15.6899995803833"
"2011-02-14","133.02999877929688","133.5399932861328","132.8800048828125","133.42999267578125","101690700","15.949999809265137"
"2011-02-15","133.02000427246094","133.22000122070312","132.32000732421875","133.00999450683594","119575400","16.3700008392334"
"2011-02-16","133.4600067138672","134.00999450683594","133.19000244140625","133.85000610351562","130183500","16.719999313354492"
"2011-02-17","133.4600067138672","134.42999267578125","133.33999633789062","134.25","109810500","16.59000015258789"
"2011-02-18","134.3699951171875","134.69000244140625","134.05999755859375","134.52999877929688","130002400","16.43000030517578"
"2011-02-22","133.1199951171875","134.55999755859375","131.47000122070312","131.8300018310547","233116400","20.799999237060547"
"2011-02-23","131.75","132.07000732421875","130.2100067138672","131.02000427246094","227584000","22.1299991607666"
"2011-02-24","130.8800048828125","131.44000244140625","129.6999969482422","130.92999267578125","260431400","21.31999969482422"
"2011-02-25","131.47999572753906","132.41000366210938","131.39999389648438","132.3300018310547","141686900","19.21999931335449"
"2011-02-28","132.82000732421875","133.32000732421875","132.3800048828125","133.14999389648438","141585500","18.350000381469727"
"2011-03-01","133.57000732421875","133.69000244140625","130.88999938964844","130.92999267578125","258565500","21.01000022888184"
"2011-03-02","130.75","131.82000732421875","130.35000610351562","131.2100067138672","200277400","20.700000762939453"
