"date","open","high","low","close","volume","vix_close"
"2010-12-31","115.31999969482422","115.7300033569336","115.04000091552734","115.62999725341795","3725200","17.75"
"2011-01-03","116.41000366210938","116.86000061035156","116.36000061035156","116.41000366210938","9108900","17.610000610351562"
"2011-01-04","116.70999908447266","116.7300033569336","116.11000061035156","116.63999938964844","9775600","17.3799991607666"
"2011-01-05","116.45999908447266","117.19000244140624","116.3000030517578","117.04000091552734","7567800","17.020000457763672"
"2011-01-06","117.13999938964844","117.19000244140624","116.5","116.77999877929688","7161600","17.399999618530273"
"2011-01-07","116.91000366210938","117.0999984741211","115.81999969482422","116.56999969482422","9249800","17.139999389648438"
"2011-01-10","116.16000366210938","116.33999633789062","115.55999755859376","116.1999969482422","6166700","17.540000915527344"
"2011-01-11","116.62999725341795","116.86000061035156","116.16999816894533","116.5500030517578","5122600","16.889999389648438"
"2011-01-12","117.1500015258789","117.6500015258789","117.01000213623048","117.4000015258789","5255800","16.239999771118164"
"2011-01-13","117.37000274658205","117.37999725341795","116.81999969482422","117.1999969482422","6056800","16.389999389648438"
"2011-01-14","116.87999725341795","117.7699966430664","116.80999755859376","117.69000244140624","5885800","15.460000038146973"
"2011-01-18","117.76000213623048","118.43000030517578","117.73999786376952","118.2300033569336","4665700","15.869999885559082"
"2011-01-19","118.3499984741211","118.48999786376952","117.86000061035156","118.16000366210938","9080300","17.309999465942383"
"2011-01-20","117.83999633789062","118.33999633789062","117.33000183105467","118.12000274658205","10935600","17.989999771118164"
"2011-01-21","118.70999908447266","118.8000030517578","117.97000122070312","118.45999908447266","9663000","18.46999931335449"
"2011-01-24","118.36000061035156","119.58000183105467","118.33999633789062","119.55999755859376","12299400","17.649999618530273"
"2011-01-25","119.3000030517578","119.58999633789062","118.70999908447266","119.48999786376952","10474000","17.59000015258789"
"2011-01-26","119.5500030517578","119.94000244140624","119.33999633789062","119.61000061035156","9154100","16.639999389648438"
"2011-01-27","119.62000274658205","119.93000030517578","119.4499969482422","119.63999938964844","7393200","16.149999618530273"
"2011-01-28","119.66000366210938","119.86000061035156","117.76000213623048","118.0199966430664","17156100","20.040000915527344"
"2011-01-31","118.25","118.6500015258789","117.87999725341795","118.5999984741211","8965000","19.530000686645508"
"2011-02-01","119.16000366210938","120.2300033569336","119.08000183105467","120.08999633789062","7626900","17.6299991607666"
"2011-02-02","119.88999938964844","120.31999969482422","119.88999938964844","120.0999984741211","4231200","17.299999237060547"
"2011-02-03","120.02999877929688","120.56999969482422","119.55999755859376","120.37000274658205","6338100","16.690000534057617"
"2011-02-04","120.37000274658205","120.69000244140624","120.0199966430664","120.69000244140624","5191300","15.93000030517578"
"2011-02-07","120.87999725341795","121.6500015258789","120.8499984741211","121.3499984741211","7317100","16.280000686645508"
"2011-02-08","121.4499969482422","122.22000122070312","121.33000183105467","122.13999938964844","6032000","15.8100004196167"
"2011-02-09","122.11000061035156","122.4000015258789","121.75","122.27999877929688","7682100","15.869999885559082"
"2011-02-10","121.7699966430664","122.25","121.43000030517578","122.16999816894533","7202200","16.09000015258789"
"2011-02-11","121.81999969482422","122.76000213623048","121.70999908447266","122.6500015258789","6887200","15.6899995803833"
"2011-02-14","122.48999786376952","122.70999908447266","122.3000030517578","122.61000061035156","4093900","15.949999809265137"
"2011-02-15","122.33999633789062","122.37000274658205","121.87999725341795","122.1999969482422","4854700","16.3700008392334"
"2011-02-16","122.48999786376952","123.05999755859376","122.37000274658205","122.87999725341795","5680000","16.719999313354492"
"2011-02-17","122.6500015258789","123.33999633789062","122.56999969482422","123.16000366210938","4856500","16.59000015258789"
"2011-02-18","122.97000122070312","123.63999938964844","122.81999969482422","123.5999984741211","6320900","16.43000030517578"
"2011-02-22","122.87000274658205","123.27999877929688","121.48999786376952","121.88999938964844","9844300","20.799999237060547"
"2011-02-23","121.66999816894533","121.7699966430664","120.36000061035156","120.8499984741211","14461100","22.1299991607666"
"2011-02-24","120.7699966430664","121.04000091552734","119.55999755859376","120.41999816894533","12247300","21.31999969482422"
"2011-02-25","120.94000244140624","121.33000183105467","120.73999786376952","121.13999938964844","5649800","19.21999931335449"
"2011-02-28","121.5","122.18000030517578","121.44000244140624","122.1500015258789","5759600","18.350000381469727"
"2011-03-01","122.4000015258789","122.4800033569336","120.37000274658205","120.37000274658205","9666700","21.01000022888184"
"2011-03-02","120.25","120.9800033569336","120.0","120.4499969482422","8298400","20.700000762939453"
"2011-03-03","121.44000244140624","122.66000366210938","121.43000030517578","122.36000061035156","7297200","18.600000381469727"
