baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_profit_only,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10000.0
ppo_profit_only,2020-01-03,9910.390553528945,-0.008960944647105507,1.0,1.0,0.0,-0.009001335385420365,0.008960944647105498,,-1.121252637682178,9990.0
ppo_profit_only,2020-01-06,9933.235251387789,0.002305125891401749,0.0,1.0,0.0,0.002302473164511644,0.00667647486122114,,-0.5150265874899304,9910.390553528945
ppo_profit_only,2020-01-07,9890.314429817607,-0.0043209307424975085,0.0,1.0,0.0,-0.004330292942416557,0.010968557018239336,,-0.577966289820798,9933.235251387789
ppo_profit_only,2020-01-08,9947.772114195086,0.0058094901618348516,0.0,1.0,0.0,0.005792680147518171,0.005222788580491397,,-0.5971291346020252,9890.314429817607
ppo_profit_only,2020-01-09,10022.53629183188,0.007515670521855755,0.0,1.0,0.0,0.00748756858558775,0.0,,-0.7317163457422727,9947.772114195086
ppo_profit_only,2020-01-10,9976.846896114199,-0.004558666028968927,0.0,1.0,0.0,-0.004569088433855089,0.004558666028968877,,-1.1033644571672967,10022.53629183188
ppo_profit_only,2020-01-13,10003.844983346555,0.0027060741247688647,0.0,1.0,0.0,0.0027024192981875243,0.0018649279923844044,,-1.0880230504530377,9976.846896114199
ppo_profit_only,2020-01-14,10010.768003172088,0.0006920358959039419,0.0,1.0,0.0,0.0006917965494811771,0.0011741826935945444,,-1.17942901770067,10003.844983346555
ppo_profit_only,2020-01-15,10049.88084694687,0.003907077235471679,0.0,1.0,0.0,0.0038994644319744354,0.0,,-1.14220809996923,10010.768003172088
ppo_profit_only,2020-01-16,10139.181887390961,0.008885781016122252,0.0,1.0,0.0,0.008846534781610097,0.0,,-1.1213026307072285,10049.88084694687
ppo_profit_only,2020-01-17,10150.950176050756,0.0011606743808816322,0.0,1.0,0.0,0.0011600013191257635,0.0,,-1.1555691481782835,10139.181887390961
ppo_profit_only,2020-01-21,10101.107390959558,-0.004910159564056604,0.0,1.0,0.0,-0.004922254004191618,0.004910159564056594,,-1.2387623873728912,10150.950176050756
ppo_profit_only,2020-01-22,10100.41551149881,-6.849540688647071e-05,0.0,1.0,0.0,-6.849775280397665e-05,0.004978318647565892,,-0.9143686757330924,10101.107390959558
ppo_profit_only,2020-01-23,10091.070385408408,-0.0009252219455490041,0.0,1.0,0.0,-0.0009256502275642578,0.005898934543450218,,-0.8850059128587179,10100.41551149881
