baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash
buy_and_hold_spy,2020-01-02,10000.0,0.0,0.0,0.0,1.0
buy_and_hold_spy,2020-01-03,9898.492276932337,-0.01015077230676631,1.0,1.0,0.0
buy_and_hold_spy,2020-01-06,9962.270258731627,0.006443201652833519,0.0,1.0,0.0
buy_and_hold_spy,2020-01-07,9960.883842187872,-0.00013916672683522702,0.0,1.0,0.0
buy_and_hold_spy,2020-01-08,10035.753156337223,0.0075163324194438275,0.0,1.0,0.0
buy_and_hold_spy,2020-01-09,10120.790700468484,0.008473459122254612,0.0,1.0,0.0
buy_and_hold_spy,2020-01-10,10094.909279526248,-0.0025572528578264864,0.0,1.0,0.0
buy_and_hold_spy,2020-01-13,10211.373205578158,0.011536896749346104,0.0,1.0,0.0
buy_and_hold_spy,2020-01-14,10171.165715415967,-0.003937520385625226,0.0,1.0,0.0
buy_and_hold_spy,2020-01-15,10175.32496504724,0.0004089255595323138,0.0,1.0,0.0
buy_and_hold_spy,2020-01-16,10272.840258072316,0.00958350650815043,0.0,1.0,0.0
buy_and_hold_spy,2020-01-17,10323.677881998796,0.0049487408203912064,0.0,1.0,0.0
buy_and_hold_spy,2020-01-21,10319.05602338853,-0.00044769496521435137,0.0,1.0,0.0
buy_and_hold_spy,2020-01-22,10346.323155677908,0.0026424056839673415,0.0,1.0,0.0
buy_and_hold_spy,2020-01-23,10379.598563121313,0.003216157754085236,0.0,1.0,0.0
buy_and_hold_spy,2020-01-24,10292.250794881533,-0.008415332029325984,0.0,1.0,0.0
buy_and_hold_spy,2020-01-27,10079.658697544915,-0.020655549653176175,0.0,1.0,0.0
buy_and_hold_spy,2020-01-28,10234.481088236265,0.015359884231899601,0.0,1.0,0.0
buy_and_hold_spy,2020-01-29,10251.118791957964,0.0016256519092914257,0.0,1.0,0.0
buy_and_hold_spy,2020-01-30,10287.629641467878,0.0035616453433899853,0.0,1.0,0.0
buy_and_hold_spy,2020-01-31,10124.488046317374,-0.015858035411082994,0.0,1.0,0.0
buy_and_hold_spy,2020-02-03,10277.462116682585,0.01510931413671357,0.0,1.0,0.0
buy_and_hold_spy,2020-02-04,10512.700192894927,0.0228887320178488,0.0,1.0,0.0
buy_and_hold_spy,2020-02-05,10547.362016882087,0.0032971380664490457,0.0,1.0,0.0
buy_and_hold_spy,2020-02-06,10638.407130970758,0.008632027036044043,0.0,1.0,0.0
buy_and_hold_spy,2020-02-07,10592.653269436925,-0.004300818813432361,0.0,1.0,0.0
buy_and_hold_spy,2020-02-10,10720.67113681789,0.012085533635877166,0.0,1.0,0.0
buy_and_hold_spy,2020-02-11,10722.51945714403,0.0001724071471413957,0.0,1.0,0.0
buy_and_hold_spy,2020-02-12,10826.967538084502,0.009741001763431845,0.0,1.0,0.0
buy_and_hold_spy,2020-02-13,10813.102667450315,-0.0012805867003310434,0.0,1.0,0.0
buy_and_hold_spy,2020-02-14,10844.067145588586,0.002863607152411518,0.0,1.0,0.0
buy_and_hold_spy,2020-02-18,10848.226395219855,0.00038355070799811486,0.0,1.0,0.0
buy_and_hold_spy,2020-02-19,10952.211867181337,0.009585481365626869,0.0,1.0,0.0
buy_and_hold_spy,2020-02-20,10850.53732452499,-0.009283471127966236,0.0,1.0,0.0
buy_and_hold_spy,2020-02-21,10642.104476819644,-0.019209449400651724,0.0,1.0,0.0
buy_and_hold_spy,2020-02-24,10231.70825514875,-0.03856344603314221,0.0,1.0,0.0
buy_and_hold_spy,2020-02-25,9953.48915049009,-0.02719185278945535,0.0,1.0,0.0
buy_and_hold_spy,2020-02-26,10004.788678198951,0.005153924109751573,0.0,1.0,0.0
buy_and_hold_spy,2020-02-27,9503.80995141838,-0.050073893901650846,0.0,1.0,0.0
buy_and_hold_spy,2020-02-28,9511.204643116162,0.0007780765540958967,0.0,1.0,0.0
buy_and_hold_spy,2020-03-02,10002.015845111437,0.05160347405105048,0.0,1.0,0.0
buy_and_hold_spy,2020-03-03,9681.278320985452,-0.03206728814399429,0.0,1.0,0.0
buy_and_hold_spy,2020-03-04,10085.204363719944,0.04172238720365362,0.0,1.0,0.0
buy_and_hold_spy,2020-03-05,9778.79361401053,-0.030382205323640443,0.0,1.0,0.0
buy_and_hold_spy,2020-03-06,9613.803698533884,-0.01687221573428621,0.0,1.0,0.0
buy_and_hold_spy,2020-03-09,8945.986030753917,-0.0694644584725409,0.0,1.0,0.0
buy_and_hold_spy,2020-03-10,9433.099886900301,0.05445054960647355,0.0,1.0,0.0
buy_and_hold_spy,2020-03-11,9022.241761447023,-0.043554942741975466,0.0,1.0,0.0
buy_and_hold_spy,2020-03-12,8194.979844365438,-0.09169139322075825,0.0,1.0,0.0
buy_and_hold_spy,2020-03-13,8889.140131673412,0.08470555150727455,0.0,1.0,0.0
buy_and_hold_spy,2020-03-16,7824.329209074351,-0.11978784301138101,0.0,1.0,0.0
buy_and_hold_spy,2020-03-17,8417.739466487352,0.07584167812427767,0.0,1.0,0.0
buy_and_hold_spy,2020-03-18,8161.704436922037,-0.030416126631697238,0.0,1.0,0.0
buy_and_hold_spy,2020-03-19,8210.693035325765,0.006002250973719869,0.0,1.0,0.0
buy_and_hold_spy,2020-03-20,7889.030998438405,-0.03917599105257474,0.0,1.0,0.0
buy_and_hold_spy,2020-03-23,7877.939666088347,-0.0014059182112801105,0.0,1.0,0.0
buy_and_hold_spy,2020-03-24,8487.987627223047,0.0774375010462105,0.0,1.0,0.0
buy_and_hold_spy,2020-03-25,8425.134158185134,-0.007404990652475352,0.0,1.0,0.0
buy_and_hold_spy,2020-03-26,8868.805082102821,0.05266039870553918,0.0,1.0,0.0
buy_and_hold_spy,2020-03-27,8563.781454133776,-0.03439286636083372,0.0,1.0,0.0
buy_and_hold_spy,2020-03-30,8875.275261039225,0.036373395161209965,0.0,1.0,0.0
buy_and_hold_spy,2020-03-31,8799.4814341285,-0.008539884643741225,0.0,1.0,0.0
buy_and_hold_spy,2020-04-01,8425.596061967512,-0.042489477926606734,0.0,1.0,0.0
buy_and_hold_spy,2020-04-02,8596.594252598186,0.020295085282161507,0.0,1.0,0.0
buy_and_hold_spy,2020-04-03,8474.584660371243,-0.01419278247197342,0.0,1.0,0.0
buy_and_hold_spy,2020-04-06,9080.473371874672,0.07149479718300289,0.0,1.0,0.0
buy_and_hold_spy,2020-04-07,9076.776026025784,-0.00040717545192525684,0.0,1.0,0.0
buy_and_hold_spy,2020-04-08,9269.496387967416,0.02123224825522252,0.0,1.0,0.0
buy_and_hold_spy,2020-04-09,9282.89864962261,0.0014458457174211237,0.0,1.0,0.0
buy_and_hold_spy,2020-04-13,9383.1867757352,0.010803535608639558,0.0,1.0,0.0
buy_and_hold_spy,2020-04-14,9791.272068100963,0.04349111896835178,0.0,1.0,0.0
buy_and_hold_spy,2020-04-15,9678.967391680322,-0.011469875991549583,0.0,1.0,0.0
buy_and_hold_spy,2020-04-16,9855.511953682635,0.01824002033048111,0.0,1.0,0.0
buy_and_hold_spy,2020-04-17,9949.791804641201,0.009566205327703692,0.0,1.0,0.0
buy_and_hold_spy,2020-04-20,9831.942167242149,-0.011844432497982615,0.0,1.0,0.0
buy_and_hold_spy,2020-04-21,9469.148127431223,-0.03689952947645225,0.0,1.0,0.0
buy_and_hold_spy,2020-04-22,9750.140065177397,0.02967446849122224,0.0,1.0,0.0
buy_and_hold_spy,2020-04-23,9729.343111824423,-0.002132990214904762,0.0,1.0,0.0
buy_and_hold_spy,2020-04-24,9882.779085972015,0.015770435103796165,0.0,1.0,0.0
buy_and_hold_spy,2020-04-27,9962.270258731629,0.00804340277852078,0.0,1.0,0.0
buy_and_hold_spy,2020-04-28,9774.63436437926,-0.01883465209026136,0.0,1.0,0.0
buy_and_hold_spy,2020-04-29,10121.252604250865,0.03546099290780136,0.0,1.0,0.0
buy_and_hold_spy,2020-04-30,10117.09335461959,-0.0004109421821493209,0.0,1.0,0.0
buy_and_hold_spy,2020-05-01,9831.942167242149,-0.02818509006316894,0.0,1.0,0.0
buy_and_hold_spy,2020-05-04,9946.557067771306,0.011657401821486335,0.0,1.0,0.0
buy_and_hold_spy,2020-05-05,10059.323647974325,0.01133724759579402,0.0,1.0,0.0
buy_and_hold_spy,2020-05-06,10121.252604250867,0.006156373772605805,0.0,1.0,0.0
buy_and_hold_spy,2020-05-07,10251.581400936966,0.01287674577268838,0.0,1.0,0.0
buy_and_hold_spy,2020-05-08,10392.077017211748,0.013704774978613665,0.0,1.0,0.0
buy_and_hold_spy,2020-05-11,10484.970451626556,0.008938870859112491,0.0,1.0,0.0
buy_and_hold_spy,2020-05-12,10265.44556637454,-0.020937100992779678,0.0,1.0,0.0
buy_and_hold_spy,2020-05-13,10136.965795211196,-0.012515752027772775,0.0,1.0,0.0
buy_and_hold_spy,2020-05-14,10252.04330471935,0.011352263767380633,0.0,1.0,0.0
buy_and_hold_spy,2020-05-15,10318.594119606154,0.00649146837452097,0.0,1.0,0.0
buy_and_hold_spy,2020-05-18,10510.851167372179,0.018632097118804314,0.0,1.0,0.0
buy_and_hold_spy,2020-05-19,10484.508547844178,-0.002506230856904712,0.0,1.0,0.0
buy_and_hold_spy,2020-05-20,10693.865908310898,0.019968256929865147,0.0,1.0,0.0
buy_and_hold_spy,2020-05-21,10577.401982258987,-0.010890722499278693,0.0,1.0,0.0
buy_and_hold_spy,2020-05-22,10613.912831768897,0.003451778572011177,0.0,1.0,0.0
buy_and_hold_spy,2020-05-26,10585.258577739149,-0.0026996880871287265,0.0,1.0,0.0
buy_and_hold_spy,2020-05-27,10643.028284384416,0.00545756215788229,0.0,1.0,0.0
buy_and_hold_spy,2020-05-28,10629.164118946845,-0.0013026523154047176,0.0,1.0,0.0
buy_and_hold_spy,2020-05-29,10784.91102239957,0.01465278941126713,0.0,1.0,0.0
buy_and_hold_spy,2020-06-01,10817.261917081594,0.002999644096723042,0.0,1.0,0.0
buy_and_hold_spy,2020-06-02,10889.82100712243,0.006707713153016659,0.0,1.0,0.0
buy_and_hold_spy,2020-06-03,10938.809605526158,0.0044985678250990535,0.0,1.0,0.0
buy_and_hold_spy,2020-06-04,10862.091265854055,-0.007013408445590397,0.0,1.0,0.0
buy_and_hold_spy,2020-06-05,11077.4569014748,0.0198272717794008,0.0,1.0,0.0
buy_and_hold_spy,2020-06-08,11163.418253170823,0.007760025830890749,0.0,1.0,0.0
buy_and_hold_spy,2020-06-09,11244.295842474197,0.007244876745561513,0.0,1.0,0.0
buy_and_hold_spy,2020-06-10,11379.245792573949,0.012001636384378234,0.0,1.0,0.0
buy_and_hold_spy,2020-06-11,10815.41359675546,-0.04954917101680367,0.0,1.0,0.0
buy_and_hold_spy,2020-06-12,10901.374948451483,0.007948041092188163,0.0,1.0,0.0
buy_and_hold_spy,2020-06-15,11034.013969246102,0.012167182710604685,0.0,1.0,0.0
buy_and_hold_spy,2020-06-16,11223.498889121223,0.017172800433573165,0.0,1.0,0.0
buy_and_hold_spy,2020-06-17,11259.084520673146,0.0031706361717926956,0.0,1.0,0.0
buy_and_hold_spy,2020-06-18,11289.587095029035,0.0027091522672098023,0.0,1.0,0.0
buy_and_hold_spy,2020-06-19,11287.738774702899,-0.00016371903689471612,0.0,1.0,0.0
buy_and_hold_spy,2020-06-22,11403.278187993434,0.010235833376076364,0.0,1.0,0.0
buy_and_hold_spy,2020-06-23,11500.330872039514,0.008510945926783364,0.0,1.0,0.0
buy_and_hold_spy,2020-06-24,11263.244475501033,-0.020615615252853603,0.0,1.0,0.0
buy_and_hold_spy,2020-06-25,11370.464684332412,0.009519478074421217,0.0,1.0,0.0
buy_and_hold_spy,2020-06-26,11101.951200676667,-0.023614996494007334,0.0,1.0,0.0
buy_and_hold_spy,2020-06-29,11223.036280142234,0.010906648505011107,0.0,1.0,0.0
buy_and_hold_spy,2020-06-30,11443.023774373243,0.019601424136911128,0.0,1.0,0.0
buy_and_hold_spy,2020-07-01,11576.58730792924,0.011672048943489388,0.0,1.0,0.0
buy_and_hold_spy,2020-07-02,11655.15396792748,0.006786685739797127,0.0,1.0,0.0
buy_and_hold_spy,2020-07-06,11941.692277045297,0.024584686732265437,0.0,1.0,0.0
buy_and_hold_spy,2020-07-07,11859.426860804935,-0.006888924478358427,0.0,1.0,0.0
buy_and_hold_spy,2020-07-08,12015.636373236655,0.013171758995199623,0.0,1.0,0.0
buy_and_hold_spy,2020-07-09,12116.849012110622,0.008423410606816173,0.0,1.0,0.0
buy_and_hold_spy,2020-07-10,12199.575626936748,0.006827403291354228,0.0,1.0,0.0
buy_and_hold_spy,2020-07-13,11948.62435976408,-0.02057049153566992,0.0,1.0,0.0
buy_and_hold_spy,2020-07-14,12033.198589719732,0.007078156230306165,0.0,1.0,0.0
buy_and_hold_spy,2020-07-15,12057.692888921596,0.002035560123040847,0.0,1.0,0.0
buy_and_hold_spy,2020-07-16,11975.428883074464,-0.0068225328514308625,0.0,1.0,0.0
buy_and_hold_spy,2020-07-17,11989.294458905266,0.001157835428374332,0.0,1.0,0.0
buy_and_hold_spy,2020-07-20,12329.441814643851,0.028370923485487864,0.0,1.0,0.0
buy_and_hold_spy,2020-07-21,12200.962043480506,-0.010420566729204883,0.0,1.0,0.0
buy_and_hold_spy,2020-07-22,12243.942366730209,0.0035226995294743713,0.0,1.0,0.0
buy_and_hold_spy,2020-07-23,11924.130060562216,-0.026120043413222938,0.0,1.0,0.0
buy_and_hold_spy,2020-07-24,11810.900871380198,-0.009495802931277275,0.0,1.0,0.0
buy_and_hold_spy,2020-07-27,12021.644648390678,0.017843158562201422,0.0,1.0,0.0
buy_and_hold_spy,2020-07-28,11868.670578025465,-0.012724887054924805,0.0,1.0,0.0
buy_and_hold_spy,2020-07-29,12005.468848451357,0.011525997754050943,0.0,1.0,0.0
buy_and_hold_spy,2020-07-30,12068.323022685887,0.005235461857254986,0.0,1.0,0.0
buy_and_hold_spy,2020-07-31,12283.688658306632,0.01784553124869981,0.0,1.0,0.0
buy_and_hold_spy,2020-08-03,12449.603086544652,0.013506889734283822,0.0,1.0,0.0
buy_and_hold_spy,2020-08-04,12495.818851860868,0.003712228012004992,0.0,1.0,0.0
buy_and_hold_spy,2020-08-05,12526.782624802521,0.002477930682953433,0.0,1.0,0.0
