baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward
sac_profit_only,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0
sac_profit_only,2020-01-03,9914.353387491616,-0.008564661250838435,1.0,1.0,0.0,-0.008601548732211452
sac_profit_only,2020-01-06,9952.177162965203,0.0038150521769082513,0.0,1.0,0.0,0.00380779332143604
sac_profit_only,2020-01-07,9924.193856654649,-0.0028117773480448305,0.0,1.0,0.0,-0.002815737819690788
sac_profit_only,2020-01-08,9977.085205357462,0.005329536027487647,0.0,1.0,0.0,0.005315384309479369
sac_profit_only,2020-01-09,10044.736319366033,0.006780649119067839,0.0,1.0,0.0,0.006757763910630538
sac_profit_only,2020-01-10,10015.830527723869,-0.002877705369570993,0.0,1.0,0.0,-0.0028818539244586834
sac_profit_only,2020-01-13,10084.712873426308,0.006877347366428754,0.0,1.0,0.0,0.006853806284860935
sac_profit_only,2020-01-14,10069.337492273617,-0.0015246225991427664,0.0,1.0,0.0,-0.001525786018845352
sac_profit_only,2020-01-15,10092.092756079188,0.0022598570981489097,0.0,1.0,0.0,0.0022573074615838975
sac_profit_only,2020-01-16,10176.04267501085,0.008318385587676502,0.0,1.0,0.0,0.008283978494246641
sac_profit_only,2020-01-17,10207.715922647845,0.0031125309364881115,0.0,1.0,0.0,0.0031076970399105484
sac_profit_only,2020-01-21,10187.727176398314,-0.001958199699227836,0.0,1.0,0.0,-0.001960119478876216
sac_profit_only,2020-01-22,10188.957469653391,0.00012076228915192111,0.0,1.0,0.0,0.00012075499797367417
sac_profit_only,2020-01-23,10200.642909479642,0.0011468729613461903,0.0,1.0,0.0,0.001146215804953398
sac_profit_only,2020-01-24,10109.927785303242,-0.008893079091328415,0.0,1.0,0.0,-0.008932858535968936
sac_profit_only,2020-01-27,9947.87160579183,-0.016029410194896898,0.0,1.0,0.0,-0.016159270785999106
sac_profit_only,2020-01-28,10052.117140457702,0.010479179747874712,0.0,1.0,0.0,0.01042465373821599
sac_profit_only,2020-01-29,10043.813834034421,-0.0008260256329346571,0.0,1.0,0.0,-0.0008263669800950709
sac_profit_only,2020-01-30,10076.409567003026,0.003245354156022895,0.0,1.0,0.0,0.0032400993602699547
sac_profit_only,2020-01-31,9893.443094349263,-0.018157903510881424,0.0,1.0,0.0,-0.018324781429623113
sac_profit_only,2020-02-03,9966.93692827096,0.0074285396116215985,0.0,1.0,0.0,0.007401083897971815
sac_profit_only,2020-02-04,10118.84576913466,0.015241276427947925,0.0,1.0,0.0,0.015126295011474165
sac_profit_only,2020-02-05,10235.698290519606,0.011548008938072618,0.0,1.0,0.0,0.011481839611606611
sac_profit_only,2020-02-06,10270.13993259022,0.0033648551464744436,0.0,1.0,0.0,0.003359206688677661
