baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash
buy_and_hold_spy,2020-01-02,10000.0,0.0,0.0,0.0,1.0
buy_and_hold_spy,2020-01-03,9910.390553528945,-0.008960944647105507,1.0,1.0,0.0
buy_and_hold_spy,2020-01-06,9933.235251387789,0.002305125891401749,0.0,1.0,0.0
buy_and_hold_spy,2020-01-07,9890.314429817607,-0.0043209307424975085,0.0,1.0,0.0
buy_and_hold_spy,2020-01-08,9947.772114195086,0.0058094901618348516,0.0,1.0,0.0
buy_and_hold_spy,2020-01-09,10022.53629183188,0.007515670521855755,0.0,1.0,0.0
buy_and_hold_spy,2020-01-10,9976.846896114199,-0.004558666028968927,0.0,1.0,0.0
buy_and_hold_spy,2020-01-13,10003.844983346555,0.0027060741247688647,0.0,1.0,0.0
buy_and_hold_spy,2020-01-14,10010.768003172088,0.0006920358959039419,0.0,1.0,0.0
buy_and_hold_spy,2020-01-15,10049.88084694687,0.003907077235471679,0.0,1.0,0.0
buy_and_hold_spy,2020-01-16,10139.181887390961,0.008885781016122252,0.0,1.0,0.0
buy_and_hold_spy,2020-01-17,10150.950176050756,0.0011606743808816322,0.0,1.0,0.0
buy_and_hold_spy,2020-01-21,10101.107390959558,-0.004910159564056604,0.0,1.0,0.0
buy_and_hold_spy,2020-01-22,10100.41551149881,-6.849540688647071e-05,0.0,1.0,0.0
buy_and_hold_spy,2020-01-23,10091.070385408408,-0.0009252219455490041,0.0,1.0,0.0
buy_and_hold_spy,2020-01-24,10030.843070578907,-0.005968377241386547,0.0,1.0,0.0
buy_and_hold_spy,2020-01-27,9877.161325931802,-0.015320920042888875,0.0,1.0,0.0
buy_and_hold_spy,2020-01-28,9943.965192704205,0.006763468224115554,0.0,1.0,0.0
buy_and_hold_spy,2020-01-29,9943.965192704205,0.0,0.0,1.0,0.0
buy_and_hold_spy,2020-01-30,9987.2314258525,0.004351004082359333,0.0,1.0,0.0
buy_and_hold_spy,2020-01-31,9775.400117367171,-0.021210213266610767,0.0,1.0,0.0
buy_and_hold_spy,2020-02-03,9829.396291831881,0.005523679216851596,0.0,1.0,0.0
buy_and_hold_spy,2020-02-04,9969.924932593181,0.014296772313278083,0.0,1.0,0.0
buy_and_hold_spy,2020-02-05,10136.758724821571,0.016733705956299083,0.0,1.0,0.0
buy_and_hold_spy,2020-02-06,10167.218321966693,0.0030048655563377213,0.0,1.0,0.0
buy_and_hold_spy,2020-02-07,10078.955628865979,-0.008681105323569138,0.0,1.0,0.0
buy_and_hold_spy,2020-02-10,10139.874823156224,0.006044197090795178,0.0,1.0,0.0
buy_and_hold_spy,2020-02-11,10139.528355273591,-3.416885204954312e-05,0.0,1.0,0.0
buy_and_hold_spy,2020-02-12,10235.752415543218,0.009489993705632305,0.0,1.0,0.0
buy_and_hold_spy,2020-02-13,10204.60093893735,-0.003043398798759922,0.0,1.0,0.0
buy_and_hold_spy,2020-02-14,10194.909344964313,-0.0009497278757915062,0.0,1.0,0.0
buy_and_hold_spy,2020-02-18,10139.874823156224,-0.005398235525779671,0.0,1.0,0.0
buy_and_hold_spy,2020-02-19,10179.679546391752,0.00392556357250351,0.0,1.0,0.0
buy_and_hold_spy,2020-02-20,10133.990150674068,-0.0044882941068492554,0.0,1.0,0.0
buy_and_hold_spy,2020-02-21,10028.766375892148,-0.010383252126500375,0.0,1.0,0.0
