baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_variance_penalized_seed_19,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10000.0
ppo_variance_penalized_seed_19,2020-01-03,10017.582445920918,0.00175824459209184,0.2676087021827698,-0.2650452201460298,1.2650452201460298,0.0017567006895096967,0.0,,-1.121252637682178,9997.323912978172
ppo_variance_penalized_seed_19,2020-01-06,10008.977309491165,-0.0008590033050596135,0.05403613496765458,-0.2119847458303516,1.2119847458303517,-0.002570332140474586,0.0008590033050595647,,-0.5150265874899304,10017.041134483821
ppo_variance_penalized_seed_19,2020-01-07,10015.12570860584,0.0006142884457180919,0.010067917734330412,-0.2212901356198175,1.2212901356198176,-0.0005326219352443015,0.00024524253514667736,,-0.577966289820798,10008.876539931009
ppo_variance_penalized_seed_19,2020-01-08,10003.39366262515,-0.0011714327230668564,0.0018336566664559906,-0.22088442685756315,1.2208844268575632,-0.00255879894168893,0.0014163879730827514,,-0.5971291346020252,10015.107344303819
ppo_variance_penalized_seed_19,2020-01-09,9988.000742047356,-0.0015387698512062675,0.005274385784534319,-0.22804201944301986,1.22804201944302,-0.0030716853410359454,0.0029529783291783796,,-0.7317163457422727,10003.340900867819
ppo_variance_penalized_seed_19,2020-01-10,9994.774142486862,0.0006781537781621605,0.011676000519290936,-0.23886340511526005,1.23886340511526,-0.0007155766016336861,0.0022768271244269626,,-1.1033644571672967,9987.884122145504
ppo_variance_penalized_seed_19,2020-01-13,9978.510970102916,-0.0016271675729832014,0.002649959451807904,-0.2382249692659951,1.238224969265995,-0.003113839722982384,0.003900289918144033,,-1.0880230504530377,9994.747656740654
ppo_variance_penalized_seed_19,2020-01-14,9982.149981974593,0.0003646848595526553,0.002826272489490439,-0.2405953078808865,1.2405953078808865,-0.0009844425585993244,0.003537027435272331,,-1.17942901770067,9978.482768111875
ppo_variance_penalized_seed_19,2020-01-15,9976.746923934517,-0.0005412719754593898,0.0019351362528881588,-0.23932858848512809,1.2393285884851282,-0.0017505772487775438,0.004076384916904632,,-1.14220809996923,9982.130665154282
ppo_variance_penalized_seed_19,2020-01-16,9956.934017811092,-0.0019859084603913724,0.000671963333493869,-0.2411205446097052,1.2411205446097051,-0.0033452423391356445,0.006054198050001686,,-1.1213026307072285,9976.740219926396
ppo_variance_penalized_seed_19,2020-01-17,9949.463719816971,-0.000750260871545172,0.00011086219278930165,-0.24194132481662628,1.2419413248166262,-0.001992913003939502,0.006799916693641406,,-1.1555691481782835,9956.932913963554
ppo_variance_penalized_seed_19,2020-01-21,9954.198248394103,0.00047585766534341545,0.0021804204121411153,-0.24352729052705774,1.2435272905270578,-0.0007300663853099896,0.006327294820780304,,-1.2387623873728912,9949.442025803186
ppo_variance_penalized_seed_19,2020-01-22,9953.804211047274,-3.9585041104905905e-05,0.011574176255893798,-0.23198762370940545,1.2319876237094054,-0.00116099442997554,0.006366629395659596,,-0.9143686757330924,9954.083036749089
ppo_variance_penalized_seed_19,2020-01-23,9951.14468097602,-0.0002671872999373548,0.0005249993622650773,-0.23284137556171666,1.2328413755617167,-0.0013090558038826947,0.00663211561307897,,-0.8850059128587179,9953.798985306412
