asset,asset_label,method,Total Return,Annualized Return,Sharpe Ratio,Sortino Ratio,Calmar Ratio,MDD,Turnover
SPY,SPY (S&P 500 ETF),buy_and_hold_spy,0.1760013803222824,0.0556023838239403,0.3420013791731899,0.4251109202175332,0.1630341488766629,-0.3410474689324391,1.0
SPY,SPY (S&P 500 ETF),cppi_spy_cash,-0.027527580632078,-0.0092735780214177,-0.0020500406934195,-0.0026294154379307,-0.0426612676506918,-0.2173769916390964,9.960378058207944
SPY,SPY (S&P 500 ETF),risk_parity_spy_cash,0.0798619838153145,0.0259766641832368,0.22808421322224,0.2847621126318008,0.0898368410983397,-0.289153802222426,2.943727611526435
SPY,SPY (S&P 500 ETF),ppo_markovian_mdd_static,0.0590544071979766,0.0193353652346675,0.3340533341248216,0.4152904741070327,0.2033841464036838,-0.0950682025937754,1.7590673332660085
SPY,SPY (S&P 500 ETF),ppo_profit_only,0.1760013803222824,0.0556023838239403,0.3420013791731899,0.4251109202175332,0.1630341488766629,-0.3410474689324391,1.0
SPY,SPY (S&P 500 ETF),ppo_variance_penalized,0.1356009435109044,0.0433570712699451,0.3384317335480896,0.4207887255252477,0.1828885141778799,-0.2370683116151047,2.4444322604304363
SPY,SPY (S&P 500 ETF),sac_profit_only,0.1760013803222824,0.0556023838239403,0.3420013791731899,0.4251109202175332,0.1630341488766629,-0.3410474689324391,1.0
SPY,SPY (S&P 500 ETF),ppo_hybrid_regime_aware_policy,0.2762373917898992,0.0848189351896848,0.6447335445410396,0.858764601328527,0.4592136321363116,-0.1847047414404881,51.22026187813034
QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,0.2306333931985749,0.0717233437685536,0.3825867037136912,0.5081720643994044,0.2013726884720705,-0.3561721518084678,1.0
QQQ,QQQ (Nasdaq-100 ETF),cppi_spy_cash,-0.007239067888186,-0.002422068755051,0.1010273599202421,0.1361390245581004,-0.006719344915602,-0.3604620369207555,9.716824856298825
QQQ,QQQ (Nasdaq-100 ETF),risk_parity_spy_cash,0.1317036617411831,0.042160551802064,0.2984643096944973,0.3954432216441749,0.1512022351572707,-0.2788355063548587,3.8471601633169423
QQQ,QQQ (Nasdaq-100 ETF),ppo_markovian_mdd_static,0.2306333931985749,0.0717233437685536,0.3825867037136912,0.5081720643994044,0.2013726884720705,-0.3561721518084678,1.0
QQQ,QQQ (Nasdaq-100 ETF),ppo_profit_only,0.2306333931985749,0.0717233437685536,0.3825867037136912,0.5081720643994044,0.2013726884720705,-0.3561721518084678,1.0
QQQ,QQQ (Nasdaq-100 ETF),ppo_variance_penalized,-0.1770114854052231,-0.0629547337530347,-0.5243794661859301,-0.8868099975307507,-0.195060253242248,-0.3227450631618445,35.30539552146138
QQQ,QQQ (Nasdaq-100 ETF),sac_profit_only,0.1084274472483195,0.0349566564551415,0.4683806190694515,0.6231239287459838,0.5739162901814988,-0.0609089810712406,10.030559904962246
QQQ,QQQ (Nasdaq-100 ETF),ppo_hybrid_regime_aware_policy,0.414852892261089,0.1228031822496271,0.7810874134992699,1.0697061267750383,0.4799492549432292,-0.2558670129910982,39.4215465529841
DIA,DIA (Dow Jones ETF),buy_and_hold_spy,0.1468320358445702,0.046789942410262,0.3087941662389812,0.3675057403582418,0.1262589861214849,-0.3705870278828412,1.0
DIA,DIA (Dow Jones ETF),cppi_spy_cash,-0.0407461966482822,-0.0137889440286277,-0.0899730628377451,-0.108542792061929,-0.0813151575091197,-0.1695740923465746,7.302880218719794
DIA,DIA (Dow Jones ETF),risk_parity_spy_cash,0.0441436327634279,0.0145225333332277,0.1727154254722659,0.2107120238532158,0.0482068502381827,-0.3012545574223185,2.7133087023043365
DIA,DIA (Dow Jones ETF),ppo_markovian_mdd_static,0.1468320358445702,0.046789942410262,0.3087941662389812,0.3675057403582418,0.1262589861214849,-0.3705870278828412,1.0
DIA,DIA (Dow Jones ETF),ppo_profit_only,0.1468320358445702,0.046789942410262,0.3087941662389812,0.3675057403582418,0.1262589861214849,-0.3705870278828412,1.0
DIA,DIA (Dow Jones ETF),ppo_variance_penalized,-0.1265615957625943,-0.0441608490316302,-0.4967260475360691,-0.551499134282879,-0.2244737381073992,-0.1967305815101697,52.65329301194516
DIA,DIA (Dow Jones ETF),sac_profit_only,0.05678259311261,0.0186050072345302,0.267718127860848,0.2980617719782102,0.258553068414744,-0.0719581761245473,7.278148106641595
DIA,DIA (Dow Jones ETF),ppo_hybrid_regime_aware_policy,0.2811086932724513,0.0861992336947148,0.6622606945686557,0.862211040357588,0.4838111411141662,-0.1781671118532058,55.59143933975656
