baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_hybrid_regime_aware_policy_seed_19,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10000.0
ppo_hybrid_regime_aware_policy_seed_19,2020-01-03,9914.353387491616,-0.008564661250838435,1.0,1.0,0.0,-0.01028970306929445,0.008564661250838435,0.02196868405794555,-1.121252637682178,9990.0
ppo_hybrid_regime_aware_policy_seed_19,2020-01-06,9952.177162965203,0.0038150521769082513,0.0,1.0,0.0,0.00380779332143604,0.004782283703479697,0.03712433531275174,-0.5150265874899304,9914.353387491616
ppo_hybrid_regime_aware_policy_seed_19,2020-01-07,9924.193856654649,-0.0028117773480448305,0.0,1.0,0.0,-0.0029152208319304846,0.00758061433453513,0.035550842754480054,-0.577966289820798,9952.177162965203
ppo_hybrid_regime_aware_policy_seed_19,2020-01-08,9977.085205357462,0.005329536027487647,0.0,1.0,0.0,0.005315384309479369,0.0022914794642538254,0.035071771634949366,-0.5971291346020252,9924.193856654649
ppo_hybrid_regime_aware_policy_seed_19,2020-01-09,10044.736319366033,0.006780649119067839,0.0,1.0,0.0,0.006757763910630538,0.0,0.03170709135644319,-0.7317163457422727,9977.085205357462
ppo_hybrid_regime_aware_policy_seed_19,2020-01-10,10015.830527723869,-0.002877705369570993,0.0,1.0,0.0,-0.0029463602473626302,0.0028777053695709857,0.022415888570817583,-1.1033644571672967,10044.736319366033
ppo_hybrid_regime_aware_policy_seed_19,2020-01-13,10084.712873426308,0.006877347366428754,0.0,1.0,0.0,0.006853806284860935,0.0,0.02279942373867406,-1.0880230504530377,10015.830527723869
ppo_hybrid_regime_aware_policy_seed_19,2020-01-14,10069.337492273617,-0.0015246225991427664,0.0,1.0,0.0,-0.0015570625454407094,0.0015246225991427196,0.02051427455748325,-1.17942901770067,10084.712873426308
ppo_hybrid_regime_aware_policy_seed_19,2020-01-15,10092.092756079188,0.0022598570981489097,0.0,1.0,0.0,0.0022573074615838975,0.0,0.021444797500769254,-1.14220809996923,10069.337492273617
