date,open,high,low,close,volume,vix_close,split,log_return,sma_ratio,rsi_14,bollinger_band_width,vix_zscore_252
2010-12-31,125.52999877929688,125.87000274658205,125.33000183105467,125.75,91218900,17.75,train,0.000238587340784555,0.03271001329666379,67.1330241513428,0.03383372957397045,-0.9118426049819124
2011-01-03,126.70999908447266,127.5999984741211,125.6999969482422,127.0500030517578,138725200,17.610000610351562,train,0.010284924806456493,0.04185974314493923,73.17085677898388,0.0352104357581058,-0.9354014432387101
2011-01-04,127.33000183105467,127.37000274658205,126.19000244140624,126.9800033569336,137409700,17.3799991607666,train,-0.000551113607290222,0.03981397767078554,72.39960886496661,0.034668696351751474,-0.9764186762805782
2011-01-05,126.58000183105467,127.72000122070312,126.45999908447266,127.63999938964844,133975300,17.020000457763672,train,0.005184176449207462,0.04369042613409424,75.06796310725693,0.03503335337996867,-1.041635232439815
2011-01-06,127.69000244140624,127.83000183105467,127.01000213623048,127.38999938964844,122519000,17.399999618530273,train,-0.0019605542977314794,0.04017139961564142,72.21978082089367,0.034605452386669906,-0.9674803473217998
2011-01-07,127.55999755859376,127.7699966430664,126.1500015258789,127.13999938964844,156034600,17.139999389648438,train,-0.0019644056228539015,0.036647108665043726,69.38472443821229,0.03388852204589572,-1.0152068135489491
2011-01-10,126.58000183105467,127.16000366210938,126.1999969482422,126.9800033569336,122401700,17.540000915527344,train,-0.0012592165286221444,0.033895985333671996,67.5569218979212,0.033851125807777355,-0.9396058762583228
2011-01-11,127.44000244140624,127.73999786376952,126.9499969482422,127.43000030517578,110287000,16.889999389648438,train,0.0035375764400234224,0.03605163857722116,69.95428077367256,0.0343635725748454,-1.0604046739668445
2011-01-12,128.2100067138672,128.72000122070312,127.45999908447266,128.5800018310547,107929200,16.239999771118164,train,0.008984096335089451,0.04369595305224272,75.03199614709318,0.0375406365490356,-1.1804426417424647
2011-01-13,128.6300048828125,128.69000244140625,128.0500030517578,128.3699951171875,129048400,16.389999389648438,train,-0.001634611894315131,0.04048796839286517,72.61846848778673,0.03745290495562806,-1.1501285675025572
2011-01-14,128.19000244140625,129.3300018310547,128.10000610351562,129.3000030517578,117677900,15.460000038146973,train,0.007218628320147511,0.046439941867577605,76.26029501722994,0.040830381200158194,-1.3208387206366345
2011-01-18,129.17999267578125,129.63999938964844,129.02999877929688,129.52000427246094,114401300,15.869999885559082,train,0.0017000329763009424,0.04699009744716576,77.03831091584632,0.042059969287327345,-1.2407733776227803
2011-01-19,129.41000366210938,129.5399932861328,127.91000366210938,128.25,151958400,17.309999465942383,train,-0.009853858305382115,0.035797816633480695,63.999087894198155,0.03979892002218277,-0.968582770453407
2011-01-20,127.95999908447266,128.39999389648438,127.12999725341795,128.0800018310547,175745700,17.989999771118164,train,-0.0013264010662401664,0.03349166130414849,62.47477745433415,0.038581814468124885,-0.8366797074745692
2011-01-21,128.8800048828125,129.1699981689453,128.22999572753906,128.3699951171875,151462900,18.46999931335449,train,0.0022615980751737276,0.034702847466850484,64.04786436070549,0.03808267612476517,-0.7406097549478017
2011-01-24,128.2899932861328,129.25,128.25999450683594,129.10000610351562,113715500,17.649999618530273,train,0.005670664070208581,0.039414045184532176,67.71673976139348,0.03796234589942364,-0.887679462829602
2011-01-25,128.75999450683594,129.27999877929688,128.11000061035156,129.1699981689453,167552200,17.59000015258789,train,0.00054200693836145,0.038718105938271075,68.05335795236422,0.03731014039195955,-0.8926133722343448
2011-01-26,129.49000549316406,130.0500030517578,129.22999572753906,129.6699981689453,141281500,16.639999389648438,train,0.0038633953715288857,0.04115311126543397,70.42571638687923,0.0373825739752776,-1.0630863339189667
2011-01-27,129.6999969482422,130.2100067138672,129.47000122070312,129.99000549316406,123302700,16.149999618530273,train,0.002464819238374171,0.04205583736640328,71.86572602988974,0.037497068369963985,-1.146046879345258
2011-01-28,130.13999938964844,130.35000610351562,127.51000213623048,127.72000122070312,295637300,20.040000915527344,train,-0.01761718927405389,0.022291597652660755,52.38158573274323,0.033762327625348504,-0.41864327796185974
2011-01-31,128.07000732421875,128.77999877929688,127.75,128.67999267578125,149249200,19.530000686645508,train,0.007488268048510469,0.028253745525649743,57.61512742916714,0.02928177077918827,-0.5110462883789347
2011-02-01,129.4600067138672,130.97000122070312,129.3800048828125,130.74000549316406,167194300,17.6299991607666,train,0.015882014747780775,0.042918105009040364,66.1998556909902,0.0323326933904613,-0.8604344092970151
