date,open,high,low,close,volume,vix_close,split,log_return,sma_ratio,rsi_14,bollinger_band_width,vix_zscore_252
2010-12-31,54.59000015258789,54.619998931884766,54.209999084472656,54.459999084472656,38540100,17.75,train,-0.003665707273731377,0.02090931445601174,57.35128102863762,0.024223274015899673,-0.9118426049819124
2011-01-03,54.970001220703125,55.68999862670898,54.95000076293945,55.310001373291016,90994300,17.610000610351562,train,0.015487278400960447,0.03528313138615213,67.1629681899318,0.026043815778267865,-0.9354014432387101
2011-01-04,55.5099983215332,55.54999923706055,54.91999816894531,55.27000045776367,43851500,17.3799991607666,train,-0.0007234747080800196,0.03313046485958293,66.38892030721918,0.026279782927520978,-0.9764186762805782
2011-01-05,55.09999847412109,55.7599983215332,55.06999969482422,55.7400016784668,43787400,17.020000457763672,train,0.008467778038742043,0.04041843577435689,70.66665008376282,0.02956316696140699,-1.041635232439815
2011-01-06,55.79999923706055,55.959999084472656,55.68000030517578,55.91999816894531,46139600,17.399999618530273,train,0.0032240130151409,0.04226461504375445,72.12958195377792,0.033909419067413016,-0.9674803473217998
2011-01-07,56.02000045776367,56.04999923706055,55.31999969482422,55.869998931884766,72261700,17.139999389648438,train,-0.0008945208281816181,0.03990616813228942,71.06928284917731,0.03641695392265213,-1.0152068135489491
2011-01-10,55.75,56.18000030517578,55.58000183105469,56.08000183105469,55551800,17.540000915527344,train,0.0037517310239051278,0.04234821332140748,72.87298017183187,0.04069976306312095,-0.9396058762583228
2011-01-11,56.310001373291016,56.36000061035156,55.95000076293945,56.15999984741211,56663800,16.889999389648438,train,0.001425481623439523,0.04229303838339504,73.54949457564013,0.043606747253591524,-1.0604046739668445
2011-01-12,56.43000030517578,56.560001373291016,56.20000076293945,56.560001373291016,51979300,16.239999771118164,train,0.007097288868033438,0.04802848320099451,76.68099256285035,0.04851876790116545,-1.1804426417424647
2011-01-13,56.59999847412109,56.72999954223633,56.40999984741211,56.58000183105469,47364500,16.389999389648438,train,0.0003535523670772823,0.0469247571507998,76.82870985852162,0.05071575079937334,-1.1501285675025572
2011-01-14,56.59999847412109,57.02000045776367,56.459999084472656,57.0,43867400,15.460000038146973,train,0.007395669598904551,0.05314501904024027,79.73219816512756,0.05626525590193326,-1.3208387206366345
2011-01-18,56.56999969482422,57.22999954223633,56.4900016784668,57.15999984741211,65805600,15.869999885559082,train,0.002803082557629216,0.05474097517698606,80.72317222876156,0.06084919210662905,-1.2407733776227803
2011-01-19,57.2599983215332,57.2599983215332,56.31999969482422,56.5099983215332,67767200,17.309999465942383,train,-0.01143676645254777,0.04165510981734566,66.49837289441247,0.0605990131199891,-0.968582770453407
2011-01-20,56.27000045776367,56.34999847412109,55.68000030517578,56.11000061035156,92357800,17.989999771118164,train,-0.007103523298983021,0.0333790140218817,59.54463410598564,0.05984435319404844,-0.8366797074745692
