baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward
ppo_variance_penalized,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0
ppo_variance_penalized,2020-01-03,9943.0696330462,-0.005693036695380016,0.6645153164863586,0.6628186654866182,0.33718133451338184,-0.005709303797640572
ppo_variance_penalized,2020-01-06,9968.259998783198,0.00253345965246754,0.0016966509997404788,0.6653636733186795,0.3346363266813205,-0.014442329957836685
ppo_variance_penalized,2020-01-07,9949.626172011405,-0.0018693158860290104,0.0008483568323208734,0.6638873002880143,0.33611269971198565,-0.013203736996980155
ppo_variance_penalized,2020-01-08,9984.857082706169,0.003540928079676986,0.0006280161983442945,0.6656992620462514,0.3343007379537486,-0.01007007850642391
ppo_variance_penalized,2020-01-09,10029.83542822526,0.004504655915105182,0.0011839455598927628,0.6660201778632739,0.33397982213672606,-0.010189266173279764
ppo_variance_penalized,2020-01-10,10010.640516960533,-0.0019137812780766206,0.0015048613769153008,0.6638725469175447,0.3361274530824553,-0.015028135049396618
ppo_variance_penalized,2020-01-13,10056.383707891733,0.0045694569546972374,0.0006427695688139279,0.6660415409290855,0.3339584590709145,-0.009031296772356433
ppo_variance_penalized,2020-01-14,10046.179900141311,-0.0010146597471628604,0.0015262244427268756,0.664175080483355,0.33582491951664495,-0.013268381818514006
ppo_variance_penalized,2020-01-15,10061.262922286069,0.0015013689078517967,0.00034023600300359114,0.665018361646851,0.334981638353149,-0.00947587905582568
ppo_variance_penalized,2020-01-16,10116.873422080427,0.005527188805610095,0.0005030451604923769,0.6663595788511778,0.3336404211488222,-0.0064690521357673395
ppo_variance_penalized,2020-01-17,10137.779702283706,0.002066476403436157,0.0018442623648191603,0.6652077754402412,0.33479222455975877,-0.008894791778081886
ppo_variance_penalized,2020-01-21,10124.580868147015,-0.001301945250764991,0.0006924589538825909,0.6640781969996871,0.33592180300031294,-0.011844135548968113
ppo_variance_penalized,2020-01-22,10125.388923462418,7.981123623057584e-05,0.00043711948667157774,0.6645422364320648,0.3354577635679352,-0.009715008004638625
ppo_variance_penalized,2020-01-23,10133.105357903929,0.0007620877084169031,2.6919945706138648e-05,0.6647707995707376,0.3352292004292624,-0.008335956035466224
ppo_variance_penalized,2020-01-24,10073.220313968526,-0.005909841240197111,0.00025548308437894907,0.6625209546169131,0.33747904538308693,-0.017356891407935116
ppo_variance_penalized,2020-01-27,9965.902625120385,-0.010653761707100196,0.001994361869445571,0.6609033304511748,0.3390966695488252,-0.028772518112783856
