date,asset,asset_label,method,method_label,portfolio_value,cumulative_return,daily_returns,turnover
2020-01-02,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10000.0,0.0,0.0,0.0
2020-01-03,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,9898.492276932337,-0.01015077230676631,-0.0101507723067663,1.0
2020-01-06,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,9962.270258731627,-0.003772974126837303,0.0064432016528335,0.0
2020-01-07,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,9960.883842187872,-0.003911615781212796,-0.0001391667268352,0.0
2020-01-08,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10035.753156337223,0.0035753156337223757,0.0075163324194438,0.0
2020-01-09,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10120.790700468484,0.012079070046848495,0.0084734591222546,0.0
2020-01-10,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10094.909279526248,0.00949092795262474,-0.0025572528578264,0.0
2020-01-13,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10211.373205578158,0.02113732055781581,0.0115368967493461,0.0
2020-01-14,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10171.165715415967,0.017116571541596848,-0.0039375203856252,0.0
2020-01-15,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10175.32496504724,0.017532496504724104,0.0004089255595323,0.0
2020-01-16,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10272.840258072316,0.02728402580723155,0.0095835065081504,0.0
2020-01-17,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10323.677881998796,0.03236778819987962,0.0049487408203912,0.0
2020-01-21,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10319.05602338853,0.03190560233885309,-0.0004476949652143,0.0
2020-01-22,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10346.323155677908,0.03463231556779078,0.0026424056839673,0.0
2020-01-23,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10379.598563121312,0.03795985631213106,0.0032161577540852,0.0
2020-01-24,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10292.250794881533,0.029225079488153227,-0.0084153320293259,0.0
2020-01-27,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10079.658697544915,0.007965869754491539,-0.0206555496531761,0.0
2020-01-28,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10234.481088236264,0.023448108823626246,0.0153598842318996,0.0
2020-01-29,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10251.118791957964,0.025111879195796494,0.0016256519092914,0.0
2020-01-30,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10287.629641467878,0.028762964146787917,0.0035616453433899,0.0
2020-01-31,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10124.488046317374,0.012448804631737476,-0.0158580354110829,0.0
2020-02-03,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10277.462116682584,0.027746211668258303,0.0151093141367135,0.0
2020-02-04,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10512.700192894928,0.05127001928949282,0.0228887320178488,0.0
2020-02-05,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10547.362016882087,0.0547362016882087,0.003297138066449,0.0
2020-02-06,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10638.407130970758,0.06384071309707573,0.008632027036044,0.0
2020-02-07,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10592.653269436923,0.05926532694369224,-0.0043008188134323,0.0
2020-02-10,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10720.67113681789,0.07206711368178897,0.0120855336358771,0.0
2020-02-11,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10722.51945714403,0.07225194571440308,0.0001724071471413,0.0
2020-02-12,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10826.967538084502,0.08269675380845021,0.0097410017634318,0.0
2020-02-13,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10813.102667450315,0.08131026674503161,-0.001280586700331,0.0
2020-02-14,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10844.067145588586,0.08440671455885851,0.0028636071524115,0.0
2020-02-18,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10848.226395219855,0.08482263952198554,0.0003835507079981,0.0
2020-02-19,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10952.211867181337,0.09522118671813362,0.0095854813656268,0.0
2020-02-20,QQQ,QQQ (Nasdaq-100 ETF),buy_and_hold_spy,Buy & Hold,10850.53732452499,0.08505373245249892,-0.0092834711279662,0.0
