baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_profit_only_seed_11,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10000.0
ppo_profit_only_seed_11,2020-01-03,9914.353387491616,-0.008564661250838435,1.0,1.0,0.0,-0.008601548732211452,0.008564661250838435,,-1.121252637682178,9990.0
ppo_profit_only_seed_11,2020-01-06,9952.177162965203,0.0038150521769082513,0.0,1.0,0.0,0.00380779332143604,0.004782283703479697,,-0.5150265874899304,9914.353387491616
ppo_profit_only_seed_11,2020-01-07,9924.193856654649,-0.0028117773480448305,0.0,1.0,0.0,-0.002815737819690788,0.00758061433453513,,-0.577966289820798,9952.177162965203
ppo_profit_only_seed_11,2020-01-08,9977.085205357462,0.005329536027487647,0.0,1.0,0.0,0.005315384309479369,0.0022914794642538254,,-0.5971291346020252,9924.193856654649
ppo_profit_only_seed_11,2020-01-09,10044.736319366033,0.006780649119067839,0.0,1.0,0.0,0.006757763910630538,0.0,,-0.7317163457422727,9977.085205357462
ppo_profit_only_seed_11,2020-01-10,10015.830527723869,-0.002877705369570993,0.0,1.0,0.0,-0.0028818539244586834,0.0028777053695709857,,-1.1033644571672967,10044.736319366033
ppo_profit_only_seed_11,2020-01-13,10084.712873426308,0.006877347366428754,0.0,1.0,0.0,0.006853806284860935,0.0,,-1.0880230504530377,10015.830527723869
ppo_profit_only_seed_11,2020-01-14,10069.337492273617,-0.0015246225991427664,0.0,1.0,0.0,-0.001525786018845352,0.0015246225991427196,,-1.17942901770067,10084.712873426308
ppo_profit_only_seed_11,2020-01-15,10092.092756079188,0.0022598570981489097,0.0,1.0,0.0,0.0022573074615838975,0.0,,-1.14220809996923,10069.337492273617
ppo_profit_only_seed_11,2020-01-16,10176.04267501085,0.008318385587676502,0.0,1.0,0.0,0.008283978494246641,0.0,,-1.1213026307072285,10092.092756079188
ppo_profit_only_seed_11,2020-01-17,10207.715922647845,0.0031125309364881115,0.0,1.0,0.0,0.0031076970399105484,0.0,,-1.1555691481782835,10176.04267501085
ppo_profit_only_seed_11,2020-01-21,10187.727176398314,-0.001958199699227836,0.0,1.0,0.0,-0.001960119478876216,0.0019581996992277854,,-1.2387623873728912,10207.715922647845
ppo_profit_only_seed_11,2020-01-22,10188.957469653391,0.00012076228915192111,0.0,1.0,0.0,0.00012075499797367417,0.0018376738867541288,,-0.9143686757330924,10187.727176398314
ppo_profit_only_seed_11,2020-01-23,10200.642909479642,0.0011468729613461903,0.0,1.0,0.0,0.001146215804953398,0.0006929085039004807,,-0.8850059128587179,10188.957469653391
ppo_profit_only_seed_11,2020-01-24,10109.927785303242,-0.008893079091328415,0.0,1.0,0.0,-0.008932858535968936,0.009579825505100613,,-0.8491585386417684,10200.642909479642
ppo_profit_only_seed_11,2020-01-27,9947.87160579183,-0.016029410194896898,0.0,1.0,0.0,-0.016159270785999106,0.025455676747380772,,-0.1627746539082402,10109.927785303242
ppo_profit_only_seed_11,2020-01-28,10052.117140457702,0.010479179747874712,0.0,1.0,0.0,0.01042465373821599,0.015243251611745653,,1.4216818453097495,9947.87160579183
ppo_profit_only_seed_11,2020-01-29,10043.813834034421,-0.0008260256329346571,0.0,1.0,0.0,-0.0008263669800950709,0.01605668592811979,,0.5866366623582641,10052.117140457702
ppo_profit_only_seed_11,2020-01-30,10076.409567003026,0.003245354156022895,0.0,1.0,0.0,0.0032400993602699547,0.012863441404505625,,0.6428733357594455,10043.813834034421
ppo_profit_only_seed_11,2020-01-31,9893.443094349263,-0.018157903510881424,0.0,1.0,0.0,-0.018324781429623113,0.030787771787546124,,0.2542215121852175,10076.409567003026
ppo_profit_only_seed_11,2020-02-03,9966.93692827096,0.0074285396116215985,0.0,1.0,0.0,0.007401083897971815,0.02358794035820195,,1.7092973316129427,9893.443094349263
ppo_profit_only_seed_11,2020-02-04,10118.84576913466,0.015241276427947925,0.0,1.0,0.0,0.015126295011474165,0.008706174249619327,,1.3230229086231358,9966.93692827096
ppo_profit_only_seed_11,2020-02-05,10235.698290519606,0.011548008938072618,0.0,1.0,0.0,0.011481839611606611,0.0,,0.4879083594053889,10118.84576913466
ppo_profit_only_seed_11,2020-02-06,10270.13993259022,0.0033648551464744436,0.0,1.0,0.0,0.003359206688677661,0.0,,0.0975880082047145,10235.698290519606
ppo_profit_only_seed_11,2020-02-07,10215.403613224189,-0.005329656628371371,0.0,1.0,0.0,-0.005343909914229331,0.005329656628371397,,0.0157457249951368,10270.13993259022
ppo_profit_only_seed_11,2020-02-10,10291.664903140716,0.007465323231850007,0.0,1.0,0.0,0.007437595617929694,0.0,,0.2391059158775173,10215.403613224189
ppo_profit_only_seed_11,2020-02-11,10309.500870803562,0.001733049786473595,0.0,1.0,0.0,0.0017315497884897969,0.0,,0.0532871418176267,10291.664903140716
ppo_profit_only_seed_11,2020-02-12,10375.922629995846,0.006442771577855,0.0,1.0,0.0,0.006422105641496987,0.0,,0.1155957632010759,10309.500870803562
ppo_profit_only_seed_11,2020-02-13,10364.851867577736,-0.0010669665544831286,0.0,1.0,0.0,-0.0010675361685061084,0.0010669665544831548,,-0.5079166457394809,10375.922629995846
ppo_profit_only_seed_11,2020-02-14,10381.457541985506,0.0016021140118476218,0.0,1.0,0.0,0.001600831996301532,0.0,,-0.3269810390372755,10364.851867577736
ppo_profit_only_seed_11,2020-02-18,10354.704528930028,-0.0025769997081124263,0.0,1.0,0.0,-0.0025803258874645633,0.002576999708112478,,-0.5270928769657132,10381.457541985506
ppo_profit_only_seed_11,2020-02-19,10404.212805791078,0.00478123511131856,0.0,1.0,0.0,0.004769841309919101,0.0,,-0.0266714102394479,10354.704528930028
ppo_profit_only_seed_11,2020-02-20,10361.469734174765,-0.004108246574168639,0.0,1.0,0.0,-0.0041167086031452735,0.0041082465741686305,,-0.2215493742151412,10404.212805791078
ppo_profit_only_seed_11,2020-02-21,10254.76455143753,-0.010298267087080704,0.0,1.0,0.0,-0.010351661133344124,0.014364205840768909,,0.2891102737620407,10361.469734174765
ppo_profit_only_seed_11,2020-02-24,9914.661195415083,-0.03316539880720826,0.0,1.0,0.0,-0.03372784139233276,0.04705321003271923,,0.9442302755974517,10254.76455143753
ppo_profit_only_seed_11,2020-02-25,9614.225647090652,-0.030302149756096908,0.0,1.0,0.0,-0.030770750603140915,0.07592954637189961,,4.22184436454829,9914.661195415083
ppo_profit_only_seed_11,2020-02-26,9578.862458127218,-0.0036782149973914047,0.0,1.0,0.0,-0.0036849962639194165,0.07932847617308081,,5.095597825897003,9614.225647090652
ppo_profit_only_seed_11,2020-02-27,9148.659593775305,-0.044911686145666097,0.0,1.0,0.0,-0.04595146753683802,0.12067738669444757,,4.734416174629932,9578.862458127218
ppo_profit_only_seed_11,2020-02-28,9110.221140893575,-0.004201539306138757,0.0,1.0,0.0,-0.004210390573741874,0.12437189521702746,,7.883651998287038,9148.659593775305
ppo_profit_only_seed_11,2020-03-02,9504.753008358588,0.043306508301324875,0.0,1.0,0.0,0.04239500466012263,0.08645149942837024,,7.25629335652188,9110.221140893575
ppo_profit_only_seed_11,2020-03-03,9232.608574268179,-0.028632457240191478,0.0,1.0,0.0,-0.029050362476348037,0.11260863780782852,,5.011807423017717,9504.753008358588
ppo_profit_only_seed_11,2020-03-04,9620.683044411924,0.04203302533861675,0.0,1.0,0.0,0.04117363701185871,0.07530889419553528,,5.553507894223165,9232.608574268179
ppo_profit_only_seed_11,2020-03-05,9300.875304123685,-0.033241687602835635,0.0,1.0,0.0,-0.03380675024137826,0.10604718706380796,,4.134371804762353,9620.683044411924
