baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
sac_profit_only_seed_11,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10000.0
sac_profit_only_seed_11,2020-01-03,9998.852799125654,-0.0001147200874346277,0.013382911682128906,0.013282919221705788,0.9867170807782942,-0.00011472666828716699,0.00011472008743457991,,-1.121252637682178,9999.866170883179
sac_profit_only_seed_11,2020-01-06,9999.766417139213,9.137228359223926e-05,0.014457559293919212,0.027843363187220874,0.9721566368127791,9.136810939940324e-05,2.335828607865551e-05,,-0.5150265874899304,9998.70824011844
sac_profit_only_seed_11,2020-01-07,9999.022510054738,-7.439244612761353e-05,0.0021507810567887448,0.025622191303728628,0.9743778086962713,-7.439521338287674e-05,9.774899452622776e-05,,-0.577966289820798,9999.744909831032
sac_profit_only_seed_11,2020-01-08,10000.498162123004,0.00014757963258738016,0.002546606189252329,0.028314673327836826,0.9716853266721632,0.0001475687437847,0.0,,-0.5971291346020252,9998.997046482127
sac_profit_only_seed_11,2020-01-09,10002.094635365287,0.00015963937159946262,0.004157983683976962,0.024316504684494807,0.9756834953155052,0.00015962663059093999,0.0,,-0.7317163457422727,10000.456580214814
sac_profit_only_seed_11,2020-01-10,10001.524109279884,-5.704066060174817e-05,0.006888583389328792,0.01737864045339628,0.9826213595466037,-5.704228748209496e-05,5.704066060179334e-05,,-1.1033644571672967,10002.025735102323
sac_profit_only_seed_11,2020-01-13,10002.878569230887,0.00013542535479627027,0.00270645590585665,0.020220435450882306,0.9797795645491177,0.0001354161856107269,0.0,,-1.0880230504530377,10001.49704059589
sac_profit_only_seed_11,2020-01-14,10002.59077662151,-2.8770979012215925e-05,0.003921783755630841,0.016274206805069854,0.9837257931949301,-2.8771392904771333e-05,2.877097901220659e-05,,-1.17942901770067,10002.839340104205
sac_profit_only_seed_11,2020-01-15,10002.98130510103,3.904273285204596e-05,0.0017981599094076851,0.018112467949986256,0.9818875320500138,3.9041970704389165e-05,0.0,,-1.14220809996923,10002.572790363785
sac_profit_only_seed_11,2020-01-16,10004.419143466073,0.00014374098293190585,0.0007431976252792252,0.017511224515839446,0.9824887754841606,0.0001437306531866787,0.0,,-1.1213026307072285,10002.973870909078
sac_profit_only_seed_11,2020-01-17,10004.809992161552,3.906760501282136e-05,0.003753518827362884,0.013799936042058732,0.9862000639579412,3.906684189381606e-05,0.0,,-1.1555691481782835,10004.381591690462
sac_profit_only_seed_11,2020-01-21,10004.557674185127,-2.521966700241851e-05,0.0018819873192193765,0.011894888598857305,0.9881051114011427,-2.5219985023567304e-05,2.521966700242212e-05,,-1.2387623873728912,10004.791163236016
sac_profit_only_seed_11,2020-01-22,10004.526615738687,-3.1044297461590986e-06,0.005164556782307246,0.017061470369862525,0.9829385296301375,-3.104434564911096e-06,2.832401845585745e-05,,-0.9143686757330924,10004.506005078938
