method,regime,Total Return,Annualized Return,Sharpe Ratio,Sortino Ratio,Calmar Ratio,MDD,Turnover
buy_and_hold_spy,Crisis,-0.13735180820199533,-0.6654857651573095,-1.100146543518218,-1.681489858141632,-3.329632370944979,-0.19986764033304938,0.0
buy_and_hold_spy,High-vol,-0.4121684574558018,-0.3898582713484112,-1.3616093407199072,-2.1527677903233493,-0.7038107197605662,-0.5539248840668973,0.0
buy_and_hold_spy,Low-vol,0.06034723432320477,1.0201205914734177,7.5288964742824795,12.169549118555956,100.49684503251295,-0.01015077230676631,1.0
buy_and_hold_spy,Mid-vol,1.4288467040205446,0.6903753885873933,2.667717768011732,4.314457009930857,5.50364635325971,-0.12543963479384834,0.0
cppi_spy_cash,Crisis,-0.12083765070627117,-0.6150066858082677,-3.0799594959954546,-4.016683632019272,-5.089528654468871,-0.12083765070627117,1.0044571777747084
cppi_spy_cash,High-vol,-0.466000106357525,-0.44198811360428436,-2.0590779564501847,-2.9513176157533603,-0.8237618970266445,-0.5365483827300503,4.9676819296733346
cppi_spy_cash,Low-vol,0.03903732708522023,0.5833385899301649,7.660896633984732,12.845917046413645,95.74445655483679,-0.006092661767797103,0.7129366643124797
cppi_spy_cash,Mid-vol,1.1181427757401967,0.558901185317412,2.51824286523733,3.8404453211995118,5.418612702768757,-0.10314470067805903,3.0317490845383026
ppo_hybrid_regime_aware_policy,Crisis,-0.018592456969115267,-0.1298590483473726,-0.5586685240108182,-0.5941288827312213,-1.6050829455991833,-0.08090488326688672,1.3548064281359422
ppo_hybrid_regime_aware_policy,High-vol,-0.2254840550719438,-0.21148397840042354,-1.2663590082642213,-1.6421341114348733,-0.5251492757988457,-0.4027121204322689,20.765852973062795
ppo_hybrid_regime_aware_policy,Low-vol,0.06034723432320477,1.0201205914734177,7.52889647428247,12.169549118555963,100.49684503251295,-0.01015077230676631,1.0
ppo_hybrid_regime_aware_policy,Mid-vol,0.8428578489465355,0.4356596981134724,2.4137682594212486,3.9200215844748567,4.093353496700508,-0.10643099807154222,16.300887151785364
ppo_markovian_mdd_static,Crisis,-0.13735180820199533,-0.6654857651573095,-1.100146543518218,-1.681489858141632,-3.329632370944979,-0.19986764033304938,0.0
ppo_markovian_mdd_static,High-vol,-0.4121684574558018,-0.3898582713484112,-1.3616093407199072,-2.1527677903233493,-0.7038107197605662,-0.5539248840668973,0.0
ppo_markovian_mdd_static,Low-vol,0.06034723432320477,1.0201205914734177,7.5288964742824795,12.169549118555956,100.49684503251295,-0.01015077230676631,1.0
ppo_markovian_mdd_static,Mid-vol,1.4288467040205446,0.6903753885873933,2.667717768011732,4.314457009930857,5.50364635325971,-0.12543963479384834,0.0
ppo_profit_only,Crisis,-0.13735180820199533,-0.6654857651573095,-1.100146543518218,-1.681489858141632,-3.329632370944979,-0.19986764033304938,0.0
ppo_profit_only,High-vol,-0.4121684574558018,-0.3898582713484112,-1.3616093407199072,-2.1527677903233493,-0.7038107197605662,-0.5539248840668973,0.0
ppo_profit_only,Low-vol,0.06034723432320477,1.0201205914734177,7.5288964742824795,12.169549118555956,100.49684503251295,-0.01015077230676631,1.0
ppo_profit_only,Mid-vol,1.4288467040205446,0.6903753885873933,2.667717768011732,4.314457009930857,5.50364635325971,-0.12543963479384834,0.0
ppo_variance_penalized,Crisis,0.03368921878156472,0.2783659526376385,1.2428372359042965,2.2324533248995397,4.5973320752923925,-0.060549455222882576,1.5642290164741968
ppo_variance_penalized,High-vol,0.19545675571460608,0.18058678227941805,1.417814687198417,2.8351902699231215,1.1800988202292986,-0.15302683062112477,15.623357317017113
ppo_variance_penalized,Low-vol,-0.03481114845145572,-0.3463465418347206,-7.085846060679942,-11.529982699703215,-8.342735089279966,-0.04151474763711005,1.735459069981921
ppo_variance_penalized,Mid-vol,-0.32936371566026335,-0.2104883645570459,-2.560619171659142,-3.9052856978063213,-0.5817388618622857,-0.3618262047737745,16.382350117988143
risk_parity_spy_cash,Crisis,-0.10569993567915403,-0.5630765506816574,-1.513661033853622,-2.118683358432208,-4.02856124313835,-0.13977112837510364,0.317004388494547
risk_parity_spy_cash,High-vol,-0.4078464334611428,-0.3856878051387266,-1.920928220867576,-2.8231737249326074,-0.8292798234577083,-0.46508765103025074,1.5694252022793074
risk_parity_spy_cash,Low-vol,0.06034723432320477,1.0201205914734177,7.5288964742824795,12.169549118555956,100.49684503251295,-0.01015077230676631,1.0
risk_parity_spy_cash,Mid-vol,1.1388145117661637,0.5678830961370727,2.7759998608200944,4.381579764047116,6.192688591036163,-0.09170218844187905,0.9607305725430881
sac_profit_only,Crisis,0.046107251360004264,0.39667153192662674,1.127257617927879,1.8693369724658064,6.5125294324439595,-0.06090898107124065,4.580246990802288
sac_profit_only,High-vol,0.02165389810772944,0.02012056015462682,0.4343337138121544,1.1062901111343963,0.7682688153132247,-0.02618947919475767,3.81957426216826
sac_profit_only,Low-vol,0.0012648855875776466,0.015284669288667452,7.514453509662623,12.150198273671053,70.1484186186575,-0.00021789043273745534,0.02330880952816873
sac_profit_only,Mid-vol,0.03774909125547521,0.02216127912163879,2.985136078271305,5.372329679711269,7.180716645114079,-0.00308622108584633,1.6074298424635296
