baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash
buy_and_hold_spy,2020-01-02,10000.0,0.0,0.0,0.0,1.0
buy_and_hold_spy,2020-01-03,9914.353387491616,-0.008564661250838435,1.0,1.0,0.0
buy_and_hold_spy,2020-01-06,9952.177162965203,0.0038150521769082513,0.0,1.0,0.0
buy_and_hold_spy,2020-01-07,9924.193856654649,-0.0028117773480448305,0.0,1.0,0.0
buy_and_hold_spy,2020-01-08,9977.085205357462,0.005329536027487647,0.0,1.0,0.0
buy_and_hold_spy,2020-01-09,10044.736319366033,0.006780649119067839,0.0,1.0,0.0
buy_and_hold_spy,2020-01-10,10015.830527723869,-0.002877705369570993,0.0,1.0,0.0
buy_and_hold_spy,2020-01-13,10084.712873426308,0.006877347366428754,0.0,1.0,0.0
buy_and_hold_spy,2020-01-14,10069.337492273617,-0.0015246225991427664,0.0,1.0,0.0
buy_and_hold_spy,2020-01-15,10092.092756079188,0.0022598570981489097,0.0,1.0,0.0
buy_and_hold_spy,2020-01-16,10176.04267501085,0.008318385587676502,0.0,1.0,0.0
buy_and_hold_spy,2020-01-17,10207.715922647845,0.0031125309364881115,0.0,1.0,0.0
buy_and_hold_spy,2020-01-21,10187.727176398314,-0.001958199699227836,0.0,1.0,0.0
buy_and_hold_spy,2020-01-22,10188.957469653391,0.00012076228915192111,0.0,1.0,0.0
buy_and_hold_spy,2020-01-23,10200.642909479642,0.0011468729613461903,0.0,1.0,0.0
buy_and_hold_spy,2020-01-24,10109.927785303242,-0.008893079091328415,0.0,1.0,0.0
buy_and_hold_spy,2020-01-27,9947.87160579183,-0.016029410194896898,0.0,1.0,0.0
buy_and_hold_spy,2020-01-28,10052.117140457702,0.010479179747874712,0.0,1.0,0.0
buy_and_hold_spy,2020-01-29,10043.813834034421,-0.0008260256329346571,0.0,1.0,0.0
buy_and_hold_spy,2020-01-30,10076.409567003026,0.003245354156022895,0.0,1.0,0.0
buy_and_hold_spy,2020-01-31,9893.443094349263,-0.018157903510881424,0.0,1.0,0.0
buy_and_hold_spy,2020-02-03,9966.93692827096,0.0074285396116215985,0.0,1.0,0.0
buy_and_hold_spy,2020-02-04,10118.84576913466,0.015241276427947925,0.0,1.0,0.0
buy_and_hold_spy,2020-02-05,10235.698290519606,0.011548008938072618,0.0,1.0,0.0
buy_and_hold_spy,2020-02-06,10270.13993259022,0.0033648551464744436,0.0,1.0,0.0
buy_and_hold_spy,2020-02-07,10215.403613224189,-0.005329656628371371,0.0,1.0,0.0
buy_and_hold_spy,2020-02-10,10291.664903140716,0.007465323231850007,0.0,1.0,0.0
buy_and_hold_spy,2020-02-11,10309.500870803562,0.001733049786473595,0.0,1.0,0.0
buy_and_hold_spy,2020-02-12,10375.922629995846,0.006442771577855,0.0,1.0,0.0
buy_and_hold_spy,2020-02-13,10364.851867577736,-0.0010669665544831286,0.0,1.0,0.0
buy_and_hold_spy,2020-02-14,10381.457541985506,0.0016021140118476218,0.0,1.0,0.0
buy_and_hold_spy,2020-02-18,10354.704528930028,-0.0025769997081124263,0.0,1.0,0.0
buy_and_hold_spy,2020-02-19,10404.212805791078,0.00478123511131856,0.0,1.0,0.0
buy_and_hold_spy,2020-02-20,10361.469734174765,-0.004108246574168639,0.0,1.0,0.0
buy_and_hold_spy,2020-02-21,10254.76455143753,-0.010298267087080704,0.0,1.0,0.0
buy_and_hold_spy,2020-02-24,9914.661195415083,-0.03316539880720826,0.0,1.0,0.0
buy_and_hold_spy,2020-02-25,9614.225647090652,-0.030302149756096908,0.0,1.0,0.0
buy_and_hold_spy,2020-02-26,9578.862458127218,-0.0036782149973914047,0.0,1.0,0.0
buy_and_hold_spy,2020-02-27,9148.659593775305,-0.044911686145666097,0.0,1.0,0.0
buy_and_hold_spy,2020-02-28,9110.221140893575,-0.004201539306138757,0.0,1.0,0.0
buy_and_hold_spy,2020-03-02,9504.753008358588,0.043306508301324875,0.0,1.0,0.0
buy_and_hold_spy,2020-03-03,9232.608574268179,-0.028632457240191478,0.0,1.0,0.0
buy_and_hold_spy,2020-03-04,9620.683044411924,0.04203302533861675,0.0,1.0,0.0
buy_and_hold_spy,2020-03-05,9300.875304123685,-0.033241687602835635,0.0,1.0,0.0
buy_and_hold_spy,2020-03-06,9147.121492596763,-0.016531112018967953,0.0,1.0,0.0
buy_and_hold_spy,2020-03-09,8432.78188484351,-0.07809447030209493,0.0,1.0,0.0
buy_and_hold_spy,2020-03-10,8869.135277032019,0.05174489250964487,0.0,1.0,0.0
buy_and_hold_spy,2020-03-11,8436.778695654628,-0.04874844817138424,0.0,1.0,0.0
buy_and_hold_spy,2020-03-12,7629.5716543576855,-0.09567716191402476,0.0,1.0,0.0
buy_and_hold_spy,2020-03-13,8281.795529311421,0.08548630309818406,0.0,1.0,0.0
buy_and_hold_spy,2020-03-16,7375.570526634192,-0.10942373540494499,0.0,1.0,0.0
