baseline,Total Return,Annualized Return,Sharpe Ratio,Sortino Ratio,Calmar Ratio,MDD,Turnover
buy_and_hold_spy,0.1760013803222824,0.05560238382394034,0.3420013791731917,0.4251109202175363,0.16303414887666284,-0.3410474689324392,1.0
risk_parity_spy_cash,0.07986198381531451,0.025976664183236853,0.22808421322224243,0.2847621126318045,0.08983684109833977,-0.28915380222242604,2.9437276115264357
cppi_spy_cash,-0.027527580632078053,-0.009273578021417705,-0.002050040693416889,-0.0026294154379274183,-0.042661267650691934,-0.21737699163909618,9.96037805820798
