method,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_hybrid_regime_aware_policy,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10000.0
ppo_hybrid_regime_aware_policy,2020-01-03,9910.390553528945,-0.008960944647105507,1.0,1.0,0.0,-0.010698195547233363,0.008960944647105498,0.02196868405794555,-1.121252637682178,9990.0
ppo_hybrid_regime_aware_policy,2020-01-06,9933.235251387789,0.002305125891401749,0.0,1.0,0.0,0.002302473164511644,0.00667647486122114,0.03712433531275174,-0.5150265874899304,9910.390553528945
ppo_hybrid_regime_aware_policy,2020-01-07,9890.314429817607,-0.0043209307424975085,0.0,1.0,0.0,-0.00448288008027002,0.010968557018239336,0.035550842754480054,-0.577966289820798,9933.235251387789
ppo_hybrid_regime_aware_policy,2020-01-08,9947.772114195086,0.0058094901618348516,0.0,1.0,0.0,0.005792680147518171,0.005222788580491397,0.035071771634949366,-0.5971291346020252,9890.314429817607
ppo_hybrid_regime_aware_policy,2020-01-09,10022.53629183188,0.007515670521855755,0.0,1.0,0.0,0.00748756858558775,0.0,0.03170709135644319,-0.7317163457422727,9947.772114195086
ppo_hybrid_regime_aware_policy,2020-01-10,9976.846896114199,-0.004558666028968927,0.0,1.0,0.0,-0.004671274983592027,0.004558666028968877,0.022415888570817583,-1.1033644571672967,10022.53629183188
ppo_hybrid_regime_aware_policy,2020-01-13,10003.844983346555,0.0027060741247688647,0.0,1.0,0.0,0.0027024192981875243,0.0018649279923844044,0.02279942373867406,-1.0880230504530377,9976.846896114199
ppo_hybrid_regime_aware_policy,2020-01-14,10010.768003172088,0.0006920358959039419,0.0,1.0,0.0,0.0006917965494811771,0.0011741826935945444,0.02051427455748325,-1.17942901770067,10003.844983346555
ppo_hybrid_regime_aware_policy,2020-01-15,10049.88084694687,0.003907077235471679,0.0,1.0,0.0,0.0038994644319744354,0.0,0.021444797500769254,-1.14220809996923,10010.768003172088
ppo_hybrid_regime_aware_policy,2020-01-16,10139.181887390961,0.008885781016122252,0.0,1.0,0.0,0.008846534781610097,0.0,0.02196743423231929,-1.1213026307072285,10049.88084694687
ppo_hybrid_regime_aware_policy,2020-01-17,10150.950176050756,0.0011606743808816322,0.0,1.0,0.0,0.0011600013191257635,0.0,0.021110771295542913,-1.1555691481782835,10139.181887390961
ppo_hybrid_regime_aware_policy,2020-01-21,10101.107390959558,-0.004910159564056604,0.0,1.0,0.0,-0.005015698957795633,0.004910159564056594,0.01903094031567772,-1.2387623873728912,10150.950176050756
ppo_hybrid_regime_aware_policy,2020-01-22,10100.41551149881,-6.849540688647071e-05,0.0,1.0,0.0,-7.03476437062521e-05,0.004978318647565892,0.02714078310667269,-0.9143686757330924,10101.107390959558
ppo_hybrid_regime_aware_policy,2020-01-23,10091.070385408408,-0.0009252219455490041,0.0,1.0,0.0,-0.0009513122595752402,0.005898934543450218,0.027874852178532052,-0.8850059128587179,10100.41551149881
ppo_hybrid_regime_aware_policy,2020-01-24,10030.843070578907,-0.005968377241386547,0.0,1.0,0.0,-0.00615696264700868,0.011832104718159153,0.028771036533955793,-0.8491585386417684,10091.070385408408
ppo_hybrid_regime_aware_policy,2020-01-27,9877.161325931802,-0.015320920042888875,0.0,1.0,0.0,-0.016134871365624154,0.02697174603072199,0.045930633652293995,-0.1627746539082402,10030.843070578907
ppo_hybrid_regime_aware_policy,2020-01-28,9902.540843450597,0.0025695153375862034,0.54,0.4616748347686706,0.5383251652313294,-0.0008357802228273157,0.02447153500824319,0.08554204613274374,1.4216818453097495,9871.827658815799
ppo_hybrid_regime_aware_policy,2020-01-29,9897.210056514836,-0.0005383251652314458,0.5383251652313294,1.0,0.0,-0.0013799172666015638,0.024996686530347825,0.06466591655895661,0.5866366623582641,9897.210056514836
ppo_hybrid_regime_aware_policy,2020-01-30,9911.663754909998,0.001460381088471241,0.54,0.4610786305760797,0.5389213694239203,-0.001942684230935124,0.023572810130159907,0.06607183339398613,0.6428733357594455,9891.865563084319
ppo_hybrid_regime_aware_policy,2020-01-31,9814.948057243955,-0.00975776620934421,0.0010786305760796533,0.45467947224148736,0.5453205277585127,-0.012936244508245794,0.03310055836935676,0.05635553780463044,0.2542215121852175,9911.653063886411
ppo_hybrid_regime_aware_policy,2020-02-03,9826.03393852687,0.001129489551881413,0.21180223682888966,0.2438916122317657,0.7561083877682343,-0.0015401471680618907,0.032008455552315004,0.09273243329032357,1.7092973316129427,9812.869229291071
ppo_hybrid_regime_aware_policy,2020-02-04,9860.644963143435,0.003522379917787477,0.002671812832321263,0.24921000570398016,0.7507899942960199,0.0011100589957544877,0.02859882157556447,0.0830755727155784,1.3230229086231358,9826.007685203303
ppo_hybrid_regime_aware_policy,2020-02-05,9933.450624053461,0.007383458301374324,0.204325799044555,0.4576518663117942,0.5423481336882058,0.004550094002024173,0.02142652148076182,0.06219770898513473,0.4879083594053889,9858.630178982246
