date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost,method,seed,cumulative_return
2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,,,10000.0,ppo_profit_only,7,0.0
2020-01-03,9914.353387491616,-0.008564661250838435,1.0,1.0,0.0,-0.008601548732211452,0.008564661250838435,,-1.121252637682178,9990.0,ppo_profit_only,7,-0.008564661250838435
2020-01-06,9952.177162965203,0.0038150521769082513,0.0,1.0,0.0,0.00380779332143604,0.004782283703479697,,-0.5150265874899304,9914.353387491616,ppo_profit_only,7,-0.004782283703479662
2020-01-07,9924.193856654649,-0.0028117773480448305,0.0,1.0,0.0,-0.002815737819690788,0.00758061433453513,,-0.577966289820798,9952.177162965203,ppo_profit_only,7,-0.007580614334535163
2020-01-08,9977.085205357462,0.005329536027487647,0.0,1.0,0.0,0.005315384309479369,0.0022914794642538254,,-0.5971291346020252,9924.193856654649,ppo_profit_only,7,-0.0022914794642537872
2020-01-09,10044.736319366033,0.006780649119067839,0.0,1.0,0.0,0.006757763910630538,0.0,,-0.7317163457422727,9977.085205357462,ppo_profit_only,7,0.004473631936603217
2020-01-10,10015.830527723869,-0.002877705369570993,0.0,1.0,0.0,-0.0028818539244586834,0.0028777053695709857,,-1.1033644571672967,10044.736319366033,ppo_profit_only,7,0.0015830527723867949
2020-01-13,10084.712873426308,0.006877347366428754,0.0,1.0,0.0,0.006853806284860935,0.0,,-1.0880230504530377,10015.830527723869,ppo_profit_only,7,0.008471287342630696
2020-01-14,10069.337492273617,-0.0015246225991427664,0.0,1.0,0.0,-0.001525786018845352,0.0015246225991427196,,-1.17942901770067,10084.712873426308,ppo_profit_only,7,0.006933749227361563
2020-01-15,10092.092756079188,0.0022598570981489097,0.0,1.0,0.0,0.0022573074615838975,0.0,,-1.14220809996923,10069.337492273617,ppo_profit_only,7,0.009209275607918732
2020-01-16,10176.04267501085,0.008318385587676502,0.0,1.0,0.0,0.008283978494246641,0.0,,-1.1213026307072285,10092.092756079188,ppo_profit_only,7,0.017604267501085014
2020-01-17,10207.715922647845,0.0031125309364881115,0.0,1.0,0.0,0.0031076970399105484,0.0,,-1.1555691481782835,10176.04267501085,ppo_profit_only,7,0.020771592264784422
