baseline,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward
ppo_markovian_mdd_static,2020-01-02,10000.0,0.0,0.0,0.0,1.0,0.0
ppo_markovian_mdd_static,2020-01-03,9978.342265069748,-0.002165773493025158,0.25270625948905945,0.2512735333599883,0.7487264666400117,-0.0024929881961412697
ppo_markovian_mdd_static,2020-01-06,9987.947950756121,0.0009626534579794122,0.001432726129071138,0.25342602217771576,0.7465739778222842,0.0007814096656308095
ppo_markovian_mdd_static,2020-01-07,9980.8437931792,-0.0007112729873991475,0.0007197626886563113,0.2521748895628587,0.7478251104371413,-0.0009988691643530092
ppo_markovian_mdd_static,2020-01-08,9994.280753943707,0.0013462750287396297,0.000531369926200731,0.25371136633022107,0.7462886336697789,0.0012595809222033217
ppo_markovian_mdd_static,2020-01-09,10011.396016169374,0.0017125056466833488,0.0010051068411616182,0.25398456624193383,0.7460154337580662,0.0017110409808156852
ppo_markovian_mdd_static,2020-01-10,10004.10279889798,-0.0007284915370058265,0.0012783067528743808,0.25216242141263845,0.7478375785873616,-0.0008380307464570353
ppo_markovian_mdd_static,2020-01-13,10021.483966566353,0.001737403944938265,0.0005438380764209994,0.2540027644358318,0.7459972355641682,0.0017358964045894427
ppo_markovian_mdd_static,2020-01-14,10017.609884548518,-0.0003865776795891618,0.0012965049467723588,0.25241822993311525,0.7475817700668848,-0.00044463907194132256
ppo_markovian_mdd_static,2020-01-15,10023.327854529018,0.0005707918402093615,0.00028802955594420254,0.25313278044638454,0.7468672195536155,0.0005706290005090382
ppo_markovian_mdd_static,2020-01-16,10044.393689123395,0.002101680689299057,0.0004265209573250939,0.2542738564608826,0.7457261435391174,0.002099475247987522
ppo_markovian_mdd_static,2020-01-17,10052.278409807319,0.0007849872205289987,0.0015675969718231264,0.25329358593699075,0.7467064140630093,0.000784679279203601
ppo_markovian_mdd_static,2020-01-21,10047.298145611065,-0.0004954363571342268,0.0005873264479313023,0.2523362786039477,0.7476637213960523,-0.0005698745798475555
ppo_markovian_mdd_static,2020-01-22,10047.601045468935,3.0147394203039468e-05,0.00036998088511175364,0.25272906424493563,0.7472709357550644,-3.9648645077486555e-05
ppo_markovian_mdd_static,2020-01-23,10050.512831860213,0.0002897991648056486,2.280475587618236e-05,0.25292277888563514,0.7470772211143648,0.0002634112443004009
ppo_markovian_mdd_static,2020-01-24,10027.923773751125,-0.0022475527853146327,0.0002165193965756873,0.2510230560761969,0.7489769439238031,-0.0026135019637181407
ppo_markovian_mdd_static,2020-01-27,9987.286528434324,-0.004052408677374664,0.001683203412862544,0.2496668608122678,0.7503331391877321,-0.005030450153417965
ppo_markovian_mdd_static,2020-01-28,10013.703968634609,0.0026451068691253354,0.003039398676791649,0.25467998191220625,0.7453200180877937,0.0020660072971871012
ppo_markovian_mdd_static,2020-01-29,10011.593929417031,-0.0002107151583656819,0.0019737224231468065,0.25255023544396293,0.7474497645560371,-0.0008178307799283425
